Rank,Player,Club,Nationality,Stat
1.,Rodri,Manchester City,Spain,"3,633"
2.,Lewis Dunk,Brighton & Hove Albion,England,"3,212"
3.,Pascal Groß,Brighton & Hove Albion,Germany,"2,927"
4.,Virgil van Dijk,Liverpool,Netherlands,"2,872"
5.,William Saliba,Arsenal,France,"2,839"
6.,Rúben Dias,Manchester City,Portugal,"2,608"
7.,Cristian Romero,Tottenham Hotspur,Argentina,"2,586"
8.,Jan Paul van Hecke,Brighton & Hove Albion,Netherlands,"2,399"
9.,Manuel Akanji,Manchester City,Switzerland,"2,296"
10.,Maximilian Kilman,Wolverhampton Wanderers,England,"2,286"
